,Unnamed: 0,Text,Language,Class,Number of words,Number of spaces
1644,1644,എന്നാൽ ഒരു പരിഹാരത്തിലും പ്രശ്‌നകരമായ ഒരു സാഹചര്യത്തിലായിരിക്കുക എന്നല്ല അർത്ഥമാക്കുന്നത് ഒരു പരിഹാരത്തിനുപകരം നിങ്ങൾക്ക് ഉപയോഗിക്കാൻ കഴിയുന്ന മറ്റ് വാക്കുകൾ ഞാൻ ഒരു സൂപ്പിലോ അല്ലെങ്കിൽ ഞാൻ ഞാൻ ഒരു കുഴപ്പത്തിലാണ് അല്ലെങ്കിൽ ഞാൻ ശല്യപ്പെടുത്തുന്ന സ്ഥലത്താണ് അല്ലെങ്കിൽ ഞാൻ ഒരു സ്ഥലത്താണ് സ്മാർട്ട് പദം നമ്പർ  എന്നത് ഫ്ലമ്മോക്സ് ഫ്ലമ്മോക്സ് എന്നാൽ ആരെയെങ്കിലും ആശയക്കുഴപ്പത്തിലാക്കുക എന്നതാണ്,Malayalam,0,42,41
1645,1645,ഇപ്പോൾ എന്തുചെയ്യണമെന്ന് അവർ മറന്നതിനാൽ ആശയക്കുഴപ്പത്തിലാകുന്നത് അമിതമായി ഉപയോഗിച്ച ഒരു പദമാണ് അതിനുപകരം നിങ്ങൾ ഫ്ലംമോക്സ് ഉപയോഗിക്കാത്തതെന്താണ് ഉദാഹരണത്തിന് ആൺകുട്ടി പൂർണ്ണമായും നോക്കി സുഹൃത്ത് ടീച്ചർ ക്ലാസ്സിൽ ഒരു ചോദ്യം ചോദിച്ചപ്പോൾ അല്ലെങ്കിൽ നായ ഫ്ലമ്മോക്സ് നോക്കുമ്പോൾ കണ്ണാടിയിലോ ടൂറിസ്റ്റിലോ ഉള്ള സ്വന്തം പ്രതിബിംബത്തിൽ വ്യത്യസ്ത ആചാരങ്ങളാൽ ഫ്ലംമോക്സ് ചെയ്യപ്പെട്ടു,Malayalam,0,36,35
1646,1646,അവന്റെ യാത്രയ്ക്കിടയിലോ ഒരു അഭിമുഖത്തിലോ അവൻ നിങ്ങളെ എന്തിനാണ് നിയമിക്കുന്നത് എന്ന് ചോദിച്ചപ്പോൾ അവൾ പൂർണ്ണമായും ഫ്ലംമോക്സായി കാണപ്പെട്ടു അതിനാൽ അടുത്ത തവണ ഒരു പരീക്ഷയിൽ എന്തെങ്കിലും ചോദ്യങ്ങളിൽ ആശയക്കുഴപ്പമുണ്ടായാൽ നിങ്ങൾ,Malayalam,0,23,22
1647,1647,എല്ലായ്പ്പോഴും അങ്ങനെ പറയാൻ കഴിയും കാരണം ഞാൻ ഇല്ലായിരുന്നു ടി പരീക്ഷ വളരെ നന്നായി ഒരുക്കിയ ഞാൻ ചില ചോദ്യങ്ങൾക്ക് പകരം ഒര്മയുല്ലപ്പം എന്ന ഉപയോഗിക്കാം മറ്റ് വാക്കുകൾ അന്ധാളിച്ച് ചെയ്യപ്പെടുന്നു ഒര്മയുല്ലപ്പം വിതരണം അമ്പരന്നു സ്മാർട്ട് വചനം നമ്പർ എട്ട് റോന്ദേവൂ റോന്ദേവൂ റോന്ദേവൂ ആണ്,Malayalam,0,34,33
1648,1648,മീറ്റിംഗ് അല്ലെങ്കിൽ തീയതി എന്ന് പറയാനുള്ള വളരെ ഫ്രഞ്ച് മാർഗമാണ് ഉദാഹരണത്തിന് ശനിയാഴ്ച ഉച്ചഭക്ഷണത്തിന് എന്റെ സുഹൃത്തുക്കളുമായി എനിക്ക് കൂടിക്കാഴ്‌ചയുണ്ട് അല്ലെങ്കിൽ സിനിമകൾക്കായി മാളിൽ എന്റെ സുഹൃത്തുക്കളുമായി കൂടിക്കാഴ്‌ച നടത്താൻ ഞാൻ പദ്ധതിയിടുന്നു റെൻഡെജൂസ് ഒരു നാമപദമായി അല്ലെങ്കിൽ ക്രിയയായി ഉപയോഗിക്കാം ഉദാഹരണത്തിന്,Malayalam,0,31,30
1649,1649,ഇന്ന് വൈകുന്നേരം എനിക്ക് എന്റെ ചങ്ങാതിമാരുമായി ഒരു കൂടിക്കാഴ്‌ചയുണ്ട് അല്ലെങ്കിൽ ഞാൻ നാളെ എന്റെ സുഹൃത്തുക്കളുമായി കൂടിക്കാഴ്ചയ്ക്ക് പോകുന്നു,Malayalam,0,14,13
1650,1650,സൈനികർക്കായി ഒരു കൂടിക്കാഴ്‌ച സ്ഥലം സൂചിപ്പിക്കുന്നതിന് നേരത്തെ റെൻഡെജൂസ് സൈന്യം ഉപയോഗിച്ചിരുന്നു,Malayalam,0,9,8
1651,1651,ഇപ്പോൾ റെൻഡെജൂസ് എന്ന വാക്കിനെക്കുറിച്ച് അൽപ്പം ആവേശകരവും രഹസ്യവുമായ ചിലത് ഉണ്ട് അതിനാൽ ഏത് മീറ്റിംഗിനും നിങ്ങൾക്ക് റെൻഡെജൂസ് ഉപയോഗിക്കാം,Malayalam,0,15,14
1652,1652,പൊതുവേ പക്ഷേ അത് വിജയിച്ചു   ഒരു meeting ദ്യോഗിക മീറ്റിംഗിന് ഇത് വളരെ ഉചിതമല്ല അതിനാൽ നിങ്ങൾക്ക് ഒരു തീയതി ഉണ്ടെങ്കിൽ തീർച്ചയായും ഒരു റെൻഡെജൂസ് സ്മാർട്ട് വേഡ് നമ്പർ  ഒബ്ട്യൂസ് ഒബ്ട്യൂസ് ഒബ്ട്യൂസ് എന്ന് നിങ്ങൾ വിളിക്കാം നിങ്ങൾ ആരെയെങ്കിലും ഓർമയോ ബുദ്ധിശൂന്യമോ എന്ന് വിളിക്കാൻ ശ്രമിക്കുമ്പോൾ നിങ്ങൾ ഇത് ഉപയോഗിക്കും,Malayalam,0,41,40
1653,1653,അല്ലെങ്കിൽ മങ്ങിയ വിവേകം ഇപ്പോൾ നിങ്ങൾ ജ്യാമിതി ഒബ്‌ട്യൂസ് ആംഗിൾ അക്യൂട്ട് ആംഗിൾ എന്നിവയിൽ ഒബ്‌ട്യൂസ് എന്ന വാക്ക് കേട്ടിട്ടുണ്ട് അതിനാൽ ഒരു ഒബ്‌ട്യൂസ് ആംഗിൾ  ഡിഗ്രിയിൽ കൂടുതലുള്ളതും എന്നാൽ  ഡിഗ്രിയിൽ താഴെയുമാണ്,Malayalam,0,26,25
1654,1654,അക്യൂട്ട് ആംഗിൾ  ഡിഗ്രിയിൽ കുറവുള്ള ഈ മൂർച്ചയുള്ള കോണാണ് അതിനാൽ ഒരു വാക്ക് മൂർച്ചയെ സൂചിപ്പിക്കാൻ ഉപയോഗിക്കുന്നു അതിനാൽ മാനസികമായി മൂർച്ചയുള്ളതും വൃത്തികെട്ടതും മൂർച്ചയുള്ളവയെ സൂചിപ്പിക്കുന്നു അതിനാൽ മനസ്സിൽ അൽപ്പം മന്ദഗതിയിലാകുന്നു അതിനാൽ ഉദാഹരണത്തിൽ വാചകം മനുഷ്യനാണ് തന്റെ പാസ്‌വേഡ് ഒരു വ്യാജ കോളർ‌ അല്ലെങ്കിൽ‌ വൃത്തികെട്ട കുട്ടിക്ക് നൽകി,Malayalam,0,37,36
1655,1655,കഴിഞ്ഞില്ല,Malayalam,0,1,0
1656,1656,ടെസ്റ്റിലെ ഒരൊറ്റ ചോദ്യത്തിന് ഉത്തരം നൽകാൻ അല്ലെങ്കിൽ വൃദ്ധനായ മനുഷ്യന് ഇപ്പോൾ അടിസ്ഥാന നിർദ്ദേശങ്ങൾ പോലും മനസിലാക്കാൻ ബുദ്ധിമുട്ടായിരുന്നു ദൈനംദിന ജീവിതത്തിലെ നിങ്ങളുടെ അവസ്ഥയിൽ നിങ്ങളുടെ കാമുകനോ കാമുകിയോ നിങ്ങളോട് ദേഷ്യപ്പെടുന്നു എന്തുകൊണ്ടെന്ന് നിങ്ങൾക്കറിയില്ല,Malayalam,0,25,24
1657,1657,അവരോട് പറയുക ഞാൻ നിസ്സാരനായിരിക്കാം പക്ഷെ നിങ്ങൾ എന്തിനാണ് അസ്വസ്ഥനാകുന്നത് എന്ന് എനിക്കറിയില്ല സ്മാർട്ട് വേഡ് നമ്പർ  മന്ദഗതിയിലുള്ള മന്ദഗതിയിലുള്ള മന്ദഗതിയിലുള്ള മാർഗ്ഗമാണ് വേഗത കുറഞ്ഞ രീതിയിൽ വേഗത കുറഞ്ഞ രീതിയിൽ നീങ്ങുക,Malayalam,0,25,24
1658,1658,പതിവിലും അല്പം ക്ഷീണവും കുറവുമുള്ളതായി കാണാൻ,Malayalam,0,5,4
1659,1659,example ർജ്ജ ഉദാഹരണത്തിൽ ഒരു കനത്ത ഉച്ചഭക്ഷണം എന്നെ ഉച്ചകഴിഞ്ഞ് മന്ദഗതിയിലാക്കുന്നു എന്ന വാക്കിന്റെ വേരുകൾ മന്ദഗതിയിലുള്ള വ്യക്തിയാണെന്നും സ്ലഗ് ഒരു ഒച്ചയുടെ ഉദാഹരണങ്ങൾ പോലെ വളരെ സാവധാനത്തിൽ സഞ്ചരിക്കുന്ന ഒരു മൃഗമാണെന്നും അർത്ഥമാക്കുന്നു,Malayalam,0,25,24
1660,1660,ഈ വർഷം സമ്പദ്‌വ്യവസ്ഥ വളരെ മന്ദഗതിയിലായിരുന്നു അല്ലെങ്കിൽ മന്ദഗതിയിലുള്ള തുടക്കത്തിനുശേഷം മത്സരം ആരംഭിച്ചു,Malayalam,0,10,9
1661,1661,അല്ലെങ്കിൽ ഈ പാദത്തിൽ ബിസിനസ്സ് മന്ദഗതിയിലാണ് നിങ്ങൾക്ക് ഒരു ദിവസം വളരെ ക്ഷീണം തോന്നുന്നുവെങ്കിൽ നിങ്ങളുടെ ദൈനംദിന ജീവിതത്തിൽ ഇത് ഉപയോഗിക്കാൻ കഴിയും നിങ്ങൾക്ക് ഒരു ദിവസം നിങ്ങളുടെ അമ്മയോട് പറയാൻ കഴിയും അല്ലെങ്കിൽ നിങ്ങൾക്ക് പറയാൻ കഴിയും,Malayalam,0,28,27
1662,1662,നിങ്ങളുടെ ചങ്ങാതിമാർ‌ക്ക് എനിക്ക് മന്ദത തോന്നുന്നു,Malayalam,0,5,4
1663,1663,ഇന്ന് എനിക്ക് എനർജി ഡ്രിങ്ക് ഉപയോഗിച്ച് ചെയ്യാൻ കഴിയും മന്ദഗതിയിലുള്ള സ്ഥലത്ത് നിങ്ങൾക്ക് ഉപയോഗിക്കാൻ കഴിയുന്ന മറ്റ് വാക്കുകൾ അലസമോ എന്റെ കാലുകൾ വലിച്ചിടുന്നതോ ആകാം അതിനാൽ അവ  മികച്ച വാക്കുകളും അതിനുമുമ്പും ആയിരുന്നു,Malayalam,0,26,25
1664,1664,വളരെ നിഷ്പ്രയാസം തോന്നുന്നതിനുള്ള രഹസ്യ ടിപ്പ് ഞാൻ നിങ്ങൾക്ക് നൽകുന്നു,Malayalam,0,8,7
1665,1665,ഞാൻ നിങ്ങളെ ഓർമ്മിപ്പിക്കാൻ ആഗ്രഹിക്കുന്നു,Malayalam,0,4,3
1666,1666,നിങ്ങൾ ഒരു ടെലിഫോൺ കോളിൽ ഉപയോഗിക്കാൻ മികച്ച വാക്കുകൾ തിരയുന്നുവെങ്കിൽ ഞാൻ ഒരു വീഡിയോയിലേക്ക് ഒരു ലിങ്ക് ഇടുന്നു,Malayalam,0,14,13
1667,1667,അതിനായി വിവരണ ബോക്സിൽ താഴേയ്‌ക്ക് ഇപ്പോൾ രഹസ്യമായി നുറുങ്ങ് നിഷ്കളങ്കമായി തോന്നുന്നതിനുള്ള രഹസ്യ ടിപ്പ് എനിക്ക് ചിലപ്പോൾ അറിയാവുന്ന ഒന്നിൽ കൂടുതൽ സ്മാർട്ട് പദങ്ങളോ വാക്യങ്ങളോ ഉപയോഗിക്കരുത്,Malayalam,0,20,19
1668,1668,കാരണം ഞങ്ങൾ വളരെ ആവേശത്തിലാണ്,Malayalam,0,4,3
1669,1669,ഞങ്ങൾ   ഈ സ്മാർട്ട് പദങ്ങൾ‌ ഞങ്ങൾ‌ വളരെയധികം പഠിച്ചു കൂടാതെ അവയിൽ‌ രണ്ടെണ്ണം നാല് സ്വാഭാവികമായും തോന്നാത്ത ഒരു വാക്യത്തിൽ‌ ഞങ്ങൾ‌ സ്റ്റഫ് ചെയ്യുന്നു,Malayalam,0,20,19
1670,1670,അതിനാൽ നിങ്ങൾ ഉച്ചരിക്കുകയാണെന്ന് ഒരു സമയം ഉറപ്പാക്കുക,Malayalam,0,6,5
1671,1671,ശരിയായ രീതിയിൽ പദം ഗൂഗിളിലേക്ക് പോയി പദം ടൈപ്പുചെയ്യുക മുകളിൽ തിരയലിൽ നിങ്ങൾ ഒരു ചെറിയ സ്പീക്കർ ഐക്കൺ ആ സ്പീക്കറിൽ ക്ലിക്കുചെയ്യുന്നത് കാണും,Malayalam,0,18,17
1672,1672,ഒന്നോ രണ്ടോ തവണ ഉച്ചാരണം കേൾക്കുക,Malayalam,0,5,4
1673,1673,നിങ്ങൾ പോകാൻ തയ്യാറാണ് നിങ്ങൾക്ക് ഈ വീഡിയോ ഇഷ്‌ടപ്പെട്ടെങ്കിൽ ഞങ്ങൾക്ക് ഒരു അഭിപ്രായമിടാൻ മറക്കരുത്,Malayalam,0,11,10
1674,1674,ഈ  വാക്കുകളിൽ ഏതാണ് നിങ്ങളുടെ പ്രിയങ്കരമെന്നും ഒപ്പം എന്നോട് പറയുന്നതും,Malayalam,0,9,8
1675,1675,നിങ്ങൾ ഇതിനകം തന്നെ സബ്‌സ്‌ക്രൈബ് ബട്ടണും അതിനടുത്തുള്ള ബെൽ ഐക്കണും അമർത്തി കാണുന്നില്ലെങ്കിൽ,Malayalam,0,10,9
1676,1676,ഹായ് സഞ്ചി ഈ വീഡിയോയിൽ എന്റെ ചാനലിലേക്ക് സ്വാഗതം,Malayalam,0,7,6
1677,1677,നിങ്ങളുടെ ദൈനംദിന ജീവിതത്തിൽ ഉപയോഗിക്കാൻ കഴിയുന്ന മികച്ച  ഇംഗ്ലീഷ് ശൈലികൾ ഞാൻ നിങ്ങൾക്ക് നൽകും,Malayalam,0,12,11
1678,1678,അതിനാൽ നിങ്ങൾ യാത്ര ആരംഭിക്കാൻ പോകുകയാണെങ്കിൽ,Malayalam,0,5,4
1679,1679,ഒരു ഇംഗ്ലീഷ് സംസാരിക്കുന്ന രാജ്യത്തേക്ക് നിങ്ങൾക്ക് ഇത് പൂർണ്ണമായും ഉപയോഗിക്കാൻ കഴിയും,Malayalam,0,9,8
1680,1680,നിങ്ങൾ‌ കുറച്ചുകാലമായി ഇംഗ്ലീഷ് പഠിക്കുന്നുണ്ടെങ്കിൽ‌ നിങ്ങൾ‌ പഠനം പുനരാരംഭിക്കാൻ‌ താൽ‌പ്പര്യപ്പെടുന്നെങ്കിൽ‌ വാക്യങ്ങൾ‌,Malayalam,0,9,8
1681,1681,ആരംഭിക്കുന്നതിനുള്ള ഏറ്റവും മികച്ച വീഡിയോ ഇതാണ് അതിനാൽ  മിനിറ്റിനുള്ളിൽ ഇംഗ്ലീഷിൽ  ശൈലികൾ പോകാം,Malayalam,0,12,11
1682,1682,വാക്യം ഒന്നാം നമ്പർ ഇത് ചോദിക്കാനുള്ള മറ്റൊരു മാർഗമാണ്,Malayalam,0,7,6
1683,1683,സുഖമാണോ,Malayalam,0,1,0
1684,1684,എങ്ങനെ പോകുന്നു,Malayalam,0,2,1
1685,1685,എങ്ങനെ പോകുന്നു,Malayalam,0,2,1
1686,1686,അതിനാൽ നിങ്ങൾ ആരെയെങ്കിലും കണ്ടുമുട്ടുന്നു അത് എങ്ങനെ പോകുന്നു,Malayalam,0,7,6
1687,1687,വാക്യം നമ്പർ രണ്ട് നിങ്ങൾ‌ ആരെയെങ്കിലും കുറച്ചുകാലമായി കാണാത്തപ്പോൾ‌ നിങ്ങൾ‌ അവനോട്‌ ദീർഘനേരം കാണുന്നില്ലെന്ന്‌ അർ‌ത്ഥമാക്കുന്നു അതിനർ‌ത്ഥം നിങ്ങൾ‌ ഈ വ്യക്തിയെ ആഴ്ചകളോ മാസങ്ങളോ കണ്ടിട്ടില്ലെന്നാണ് ഇതിനർത്ഥം,Malayalam,0,20,19
1688,1688,മൂന്ന് നിങ്ങൾ എന്താണ് ചെയ്യുന്നതെന്ന് നിങ്ങളോട് ചോദിക്കണമെങ്കിൽ,Malayalam,0,6,5
1689,1689,നിങ്ങളുടെ ജീവിതത്തിൽ എന്താണ് സംഭവിക്കുന്നതെന്ന് നിങ്ങൾ ചോദിക്കുന്നു,Malayalam,0,6,5
1690,1690,എല്ലാം പോകുന്നുവെങ്കിൽ നിങ്ങൾ മുമ്പ് അവരെ വളർത്താൻ എന്താണ് ചെയ്തത്,Malayalam,0,8,7
1691,1691,നിങ്ങൾക്ക് ശരിക്കും മറുപടി നൽകാൻ കഴിയും എല്ലാം ശരിക്കും രസകരമാണ്,Malayalam,0,8,7
1692,1692,അടുത്ത വാചകം പരാതിപ്പെടാൻ കഴിയില്ല ആരെങ്കിലും നിങ്ങളോട് എന്തെങ്കിലും പറയുന്നു നിങ്ങൾക്ക് ഒരു പുതിയ ജോലി ഉണ്ടെന്ന് അവർ എങ്ങനെയെങ്കിലും ess ഹിക്കുന്നതുപോലെ നിങ്ങൾ അത് സംഭാഷണത്തിൽ ശരിക്കും പരാമർശിച്ചിട്ടില്ല നിങ്ങൾ അവനോട് ചോദിക്കുക,Malayalam,0,25,24
1693,1693,നിങ്ങള്ക്ക് എങ്ങനെ അറിയാം,Malayalam,0,3,2
1694,1694,നിങ്ങൾ എങ്ങനെയിരിക്കും എന്നതുപോലുള്ള വാർത്ത എവിടെ നിന്ന് ലഭിച്ചു,Malayalam,0,7,6
1695,1695,ആരെങ്കിലും രസകരമായ ഒരു തമാശ പറഞ്ഞാൽ അത് നല്ലതാണെന്ന് നിങ്ങൾക്ക് പറയാൻ കഴിയും,Malayalam,0,10,9
1696,1696,അതൊരു വലിയ തമാശയാണ് അതിനാൽ ഈ വാചകം നല്ലതാണ്,Malayalam,0,7,6
1697,1697,നിങ്ങൾ‌ക്ക് ആരോടെങ്കിലും നന്ദി പറയാൻ‌ താൽ‌പ്പര്യമുണ്ടെങ്കിൽ‌ നിങ്ങൾ‌ക്ക് ഇത് വളരെ ദയനീയമാണെന്ന് പറയാൻ‌ കഴിയും അത് നിങ്ങൾ‌ക്ക് വളരെ നന്ദിയുണ്ട് അത് നിങ്ങളോട് വളരെ ദയാലുവാണ്,Malayalam,0,19,18
1698,1698,നിങ്ങളെ സഹായിക്കാൻ ശ്രമിക്കുകയായിരുന്നു പക്ഷേ നിങ്ങൾക്ക് പറയാൻ കഴിയുന്ന ഫലത്തിലെത്താൻ കഴിഞ്ഞില്ല,Malayalam,0,9,8
1699,1699,എന്തായാലും നന്ദി അത് പ്രശ്നമല്ല എന്തായാലും നന്ദി,Malayalam,0,6,5
1700,1700,നിങ്ങളുടെ പ്രയത്നത്തിന് നന്ദി,Malayalam,0,3,2
1701,1701,എന്തായാലും നന്ദി ഞാൻ ഒരു വ്യക്തിയോട് ആവശ്യപ്പെടാത്തപ്പോൾ ചിലപ്പോൾ എന്റെ ഇമെയിലിൽ ഉപയോഗിക്കുന്ന മറ്റൊരു വാക്യം,Malayalam,0,12,11
1702,1702,ഞാൻ ചോദിക്കുന്നു അവസാനം ഞാൻ പറയുന്നു,Malayalam,0,5,4
1703,1703,മുൻ‌കൂട്ടി നന്ദി അതിനർത്ഥം നിങ്ങൾ പോകുമെന്ന് ഞാൻ ശരിക്കും പ്രതീക്ഷിക്കുന്നു എന്നാണ്,Malayalam,0,9,8
1704,1704,മുൻ‌കൂട്ടി നന്ദി പറഞ്ഞുകൊണ്ട് ഇത് ചെയ്യുക,Malayalam,0,5,4
1705,1705,ആരെങ്കിലും തെറ്റ് ചെയ്തിട്ടുണ്ടെങ്കിൽ മുൻകൂട്ടി നന്ദി അവൻ അതിൽ അസ്വസ്ഥനാണ്,Malayalam,0,8,7
1706,1706,നിങ്ങൾക്ക് വിഷമിക്കേണ്ട എന്ന് പറയാൻ കഴിയും,Malayalam,0,5,4
1707,1707,വിഷമിക്കേണ്ട അതിനെക്കുറിച്ച് വിഷമിക്കേണ്ടതില്ല,Malayalam,0,3,2
1708,1708,അതു കൊള്ളാം,Malayalam,0,2,1
1709,1709,നിങ്ങൾ വീട്ടിലെത്തിയതായും നിങ്ങളുടെ എല്ലാ സുഹൃത്തുക്കളും നിങ്ങളുടെ കട്ടിലിൽ ഇരിക്കുന്നതായും ആശങ്കകളൊന്നുമില്ല,Malayalam,0,9,8
1710,1710,നിങ്ങൾ ഇവിടെ എന്താണ് ചെയ്യുന്നത് എന്നതുപോലെയാണ് നിങ്ങൾ ഇവിടെ നടക്കുന്നത്,Malayalam,0,8,7
1711,1711,നിങ്ങൾ‌ക്ക് എന്തെങ്കിലും പിടിച്ചില്ലെങ്കിൽ‌ അല്ലെങ്കിൽ‌ നിങ്ങൾ‌ക്ക് എല്ലായ്‌പ്പോഴും ചോദിക്കാൻ‌ കഴിയുന്ന വ്യക്തിയെ മനസ്സിലായില്ലെങ്കിൽ‌ ഞാൻ‌ നിങ്ങളെ ശരിയാക്കിയിട്ടുണ്ടോ,Malayalam,0,13,12
1712,1712,എന്നിട്ട് മുന്നോട്ട് പോയി നിങ്ങൾക്ക് എവിടെ നിന്ന് കിട്ടി എന്ന് വിശദീകരിക്കുക ഞാൻ നിങ്ങളെ ശരിയാക്കി,Malayalam,0,12,11
1713,1713,കരയരുതെന്ന് വിഷമിക്കേണ്ട എന്ന് നിങ്ങൾ ആരോടെങ്കിലും ചോദിച്ചാൽ അത് മനസിലാക്കരുത് എന്ന് പറയാം,Malayalam,0,10,9
1714,1714,ഗൗരവമായി കാണരുത് പോലെ വിഷമിക്കേണ്ട അത് ഹൃദയത്തിലേക്ക് എടുക്കരുത്,Malayalam,0,7,6
1715,1715,ഒരു വാക്യത്തിന്റെ ഒരു ഭാഗം നിങ്ങൾക്ക് പിടിച്ചില്ലേ എന്ന് ചോദിക്കാനുള്ള മറ്റൊരു മാർഗ്ഗം അവസാന വാക്ക് ഞാൻ പിടിച്ചില്ലെന്ന് നിങ്ങൾക്ക് പറയാൻ കഴിയും,Malayalam,0,17,16
1716,1716,എന്നോട് ക്ഷമിക്കൂ,Malayalam,0,2,1
1717,1717,ആരെങ്കിലും ഇത് മുഴുവൻ ആവർത്തിക്കണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നുവെങ്കിൽ അവസാന വാക്ക് ഞാൻ പിടിക്കാത്തതിനാൽ നിങ്ങൾക്ക് ഇത് ആവർത്തിക്കാമോ,Malayalam,0,13,12
1718,1718,നിങ്ങൾക്ക് ക്ഷമിക്കണം എന്ന് പറയാൻ കഴിയും,Malayalam,0,5,4
1719,1719,നിങ്ങൾ തിരക്കിലായിരുന്നതിനാൽ ഞാൻ ശ്രദ്ധിച്ചില്ല,Malayalam,0,4,3
1720,1720,ഒരുപക്ഷേ നിങ്ങൾ ഫോണിൽ സംസാരിച്ചിരിക്കാം ആരോ നിങ്ങളോട് സംസാരിക്കുന്നുണ്ടാകാം നിങ്ങൾ അങ്ങനെയായിരിക്കും,Malayalam,0,9,8
1721,1721,ഓ എന്റെ ദൈവമേ,Malayalam,0,3,2
1722,1722,ക്ഷമിക്കണം ഞാൻ ശ്രദ്ധിച്ചില്ല,Malayalam,0,3,2
1723,1723,നിങ്ങൾക്ക് ഇത് ആവർത്തിക്കാമോ,Malayalam,0,3,2
1724,1724,എന്നോട് ക്ഷമിക്കൂ,Malayalam,0,2,1
1725,1725,ഞാൻ എല്ലായ്പ്പോഴും ഉപയോഗിക്കുന്ന മറ്റൊരു വാചകം ഞാൻ കേൾക്കുന്നില്ല,Malayalam,0,7,6
1726,1726,നിങ്ങളുടെ കോഫി എന്നിലുടനീളം ഉപേക്ഷിച്ചാൽ വിഷമിക്കേണ്ടതില്ല എന്നത് പ്രശ്നമല്ല,Malayalam,0,7,6
1727,1727,ഇത് പ്രശ്നമല്ലെന്ന് തോന്നുന്നു,Malayalam,0,3,2
1728,1728,എനിക്ക് സുഖമായിരിക്കും,Malayalam,0,2,1
1729,1729,ഞാൻ   ഞാൻ എന്തായാലും അലക്കു പോകാൻ പോകുന്നു,Malayalam,0,8,7
1730,1730,നിങ്ങൾക്ക് ആർക്കെങ്കിലും ഭാഗ്യം ലഭിക്കണമെങ്കിൽ പ്രശ്‌നമില്ല,Malayalam,0,5,4
1731,1731,വിരലുകൾ മറികടന്നുവെന്നും നിങ്ങൾ വിരലുകൾ മുറിച്ചുകടക്കുമെന്നും പറയാൻ ഞാൻ എപ്പോഴും ചെയ്യുന്നു,Malayalam,0,9,8
1732,1732,വിരലുകൾ മറികടന്നു,Malayalam,0,2,1
1733,1733,അമേരിക്കക്കാർ ഉപയോഗിക്കുന്ന മറ്റൊരു വാചകം ഓ മോശമാണ് അത് വിശദീകരിക്കുന്നു,Malayalam,0,8,7
1734,1734,നിങ്ങൾക്ക് എന്തെങ്കിലും ലഭിച്ചില്ല തുടർന്ന് നിങ്ങൾക്ക് ഒരു അധിക ഇഫക്റ്റ് ലഭിക്കുന്നു നിങ്ങൾക്കത് ലഭിക്കുന്നു എന്നതാണ് സാഹചര്യം,Malayalam,0,13,12
1735,1735,നിങ്ങൾ ഓയെപ്പോലെയാണ് അത് വിശദീകരിക്കുന്ന അത് വിശദീകരിക്കുന്നു,Malayalam,0,6,5
1736,1736,അസ്വസ്ഥനാകരുതെന്ന് ആ വ്യക്തിയോട് പറയാനുള്ള മറ്റൊരു മാർഗ്ഗം കാര്യങ്ങൾ ശരിയാണെന്ന് തോന്നുന്നതുപോലെ സംഭവിക്കാം,Malayalam,0,10,9
1737,1737,നിങ്ങൾ അവനോട് സംസാരിക്കാൻ ആഗ്രഹിക്കുന്ന ഒരു വ്യക്തിയുടെ പേര് ഇല്ലെങ്കിൽ കാര്യങ്ങൾ അസ്വസ്ഥമാകരുത്,Malayalam,0,10,9
1738,1738,നിങ്ങളെ കണ്ടതിൽ വിഷമമുണ്ടെന്ന് ക്ഷമിക്കണം,Malayalam,0,4,3
1739,1739,ആരുടെയെങ്കിലും തിരക്കിലാണ് നിങ്ങളെ ശല്യപ്പെടുത്തുന്നതിൽ നിങ്ങൾക്ക് എല്ലായ്പ്പോഴും ക്ഷമ ചോദിക്കാം തുടർന്ന് നിങ്ങൾക്ക് മുന്നോട്ട് പോയി ചോദിക്കാം,Malayalam,0,13,12
1740,1740,നിങ്ങളെ ശല്യപ്പെടുത്തുന്നതിൽ ഖേദിക്കുന്നു,Malayalam,0,3,2
1741,1741,നിങ്ങൾ ആരുടെയെങ്കിലും കാര്യത്തിനിടയിലാണെങ്കിൽ   നിങ്ങൾക്ക് എന്തെങ്കിലും പറയാൻ കഴിയും ഓ,Malayalam,0,10,9
1742,1742,നിങ്ങൾ എന്തെങ്കിലും നടുവിലാണ് ആരെങ്കിലും നിങ്ങളോട് എന്തെങ്കിലും ചെയ്യാൻ ആവശ്യപ്പെടുന്നു ക്ഷമിക്കണം,Malayalam,0,9,8
1743,1743,ഒരു മിനിറ്റിനുള്ളിൽ ഞാൻ നിങ്ങളോടൊപ്പമുണ്ടാകും ഞാൻ നിങ്ങളോടൊപ്പമുണ്ടാകും തുടർന്ന് നിങ്ങൾ എന്തെങ്കിലും ചെയ്യുന്നത് പുനരാരംഭിക്കുകയും ഞങ്ങൾ എവിടെയായിരുന്നുവെന്ന് നിങ്ങൾ പറയുകയും ചെയ്യും,Malayalam,0,16,15
1744,1744,ഞങ്ങൾ എവിടെയായിരുന്നു എന്ന് ഞങ്ങൾ എപ്പോൾ നിർത്തിയെന്നത് പോലെ നിങ്ങൾ അത് ആവർത്തിക്കണം കാരണം ഇത് ചില ആളുകൾ തെറ്റിദ്ധരിക്കുന്ന ശബ്ദമാണ്,Malayalam,0,16,15
